user_id,password,first_name,last_name,email,phone,credit_card,type_of_user,status,reason,username
samjohnson,bb9b8ee199288f2253d580352235f227e6281109619d1bfa229b21d2a7f02023,Sam,Johnson,samjohn97@example.com,1234567890,1234570000000000.0,client,approved,,
marysmith,76ccc0dfeaddb517e31cc2c15971ec869e98d9a698cbe4bcee0cc37e2cdc80c2,Mary,Smith,marysmith@example.com,5432167890,5432170000000000.0,developer,rejected,test,
jessicafields,ad55a489edd85736ab58430272a169062bb2d81f5b1e3beaca5d2e6069fe7a02,Jessica,Fields,jessicafields@example.com,43218765098,1234570000000000.0,client,approved,,
jane-dev,b822f1cd2dcfc685b47e83e3980289fd5d8e3ff3a82def24d7d1d68bb272eb32,jane,chen,test@email.com,2342342344,234234000000.0,developer,approved,,
carmenreed,946238bd586a379f974e85ec933616b80743949b35a242753eb2e76f62959682,Carmen,Reed,carmenreed@example.com,1234567890,1234567812345678.0,client,approved,,
jackforest,aeea52fe36642f23c08d1f02fe14d3cf6cd77f0f4c4eaf01b4c8f366b584d645,Jack,Forest,jackforest@example.com,1234567890,1234567890123456.0,developer,rejected,test reason,
feliciadunn4,da42fd192cbcf4f3fbac5e58cc06be1fa75e5b96dca27aff3eecfda13a251f4b,Felicia,Dunn,feliciadunn@example.com,1234567890,1234567812345678.0,developer,approved,,
jonhamilton,94ffd2d79b9adba4eda251a48aa4aa073159b5cc4637c0a1a2434bd0a8ee2088,Jon,Hamilton,jonhamilton@example.com,1234567890,1234567812345678.0,client,approved,,jonhamilton0
joepeters,86faa85edaa39dc2d0a7e279928de6c33361b1706a862a05c3e1bb9c35bc0ee1,Joe,Peters,joepeters@example.com,1234567890,1234567812345678.0,client,approved,,joepeters1
jamfun00,d748795b702e75f98781b68ea4f0b4b5f30534be7ec6a408cf7a0fb70a857433,Jam,Fun,jamfun00@example.com,123456789,1234567812345678.0,client,approved,,jamfun000
javocado,44ab95612c7bf33998073b00c2c3bc3272b518c4b3ed5f2474b98b3e7dbd56bb,John,Avocado,javocado@example.com,1234567890,1234567812345678.0,client,approved,,javocado0
